congestion,congestionSpeed,warningcounts,weather,temperature,windspeed
0,1.665895062,0,1,287.119,5
0,2.064814815,0,1,294.02,2
0,1.68595679,0,5,276.28,10
0,1.684478372,0,1,285.832,3
0,1.684478372,0,1,289.94,7
0,1.49845679,0,1,286.46,7
0,1.514660494,0,1,278.65,4
0,2.041666667,0,0,289.56,4
0,1.457561728,0,0,281.15,6
0,2.174768519,0,1,285.45,4
0,1.633487654,0,0,289.4,10
0,1.50308642,0,0,280.4,1
0,1.879166667,0,3,272.15,3
0,2.142361111,0,1,280.62,3
0,1.337962963,0,4,290.95,5
0,2.092074592,0,5,283.46,9
0,2.040509259,0,1,282.39,2
0,1.760030864,0,1,291.65,6
0,2.128472222,0,5,288.6,7
0,1.965034965,0,5,280.46,4
0,1.965034965,0,5,281.2,2
0,1.758487654,0,0,279.24,2
0,1.74691358,0,1,288.76,2
0,1.965034965,0,5,291.24,4
0,1.665895062,0,1,291.07,3
0,1.457561728,0,1,296.23,4
0,2.137731481,0,5,285.95,7
0,2.040509259,0,1,280.06,2
0,1.50308642,0,1,278.43,3
0,1.457561728,0,1,279.85,7
0,1.633487654,0,1,280.5,9
0,1.496141975,0,1,287.119,5
0,1.716820988,0,5,291.55,7
0,1.712962963,0,5,263.42,7
0,2.060185185,0,5,265.93,6
0,2.00877193,0,5,275.96,2
0,2.171296296,0,1,275.36,2
0,2.041666667,0,0,285.832,4
0,1.487654321,0,1,273.54,5
0,1.684478372,0,1,283.551,7
0,2.048611111,0,3,278.01,2
0,1.753858025,0,3,284.47,2
0,2.166666667,0,1,291.84,5
0,2.076388889,0,5,286.14,6
0,2.00877193,0,6,274.33,5
0,1.49691358,0,0,274.25,2
0,1.645061728,0,0,276.28,2
0,2.166666667,0,1,280.2,4
0,1.760030864,0,0,268.34,5
0,2.040509259,0,1,279.48,2
0,2.040509259,0,1,280.45,2
0,1.675925926,0,1,285.52,3
0,2.125,0,3,281.43,1
0,1.965034965,0,4,283.14,1
0,2.076388889,0,5,286.7,6
0,1.633487654,0,1,272.01,6
0,1.487654321,0,1,271.39,0
0,1.615740741,0,1,275.33,1
0,2.011574074,0,1,273.87,3
0,1.675925926,0,1,271.71,2
0,2.166666667,0,0,275.21,2
0,1.638117284,0,1,274.34,1
0,1.519290123,0,1,286.53,2
0,2.385057471,0,1,289.56,2
0,1.966435185,0,1,268.34,5
0,1.633487654,0,1,277.56,6
0,1.760030864,0,0,283.46,2
0,2.137731481,0,6,263.42,4
0,2.00877193,0,0,281.12,4
0,2.166666667,0,5,275.15,1
0,2.048611111,0,1,277.56,5
0,2.125,0,4,278.24,2
0,2.047453704,0,1,273.32,4
0,1.49691358,0,0,272.92,2
0,1.49845679,0,0,276.91,3
0,1.633487654,0,1,279.24,7
0,1.760030864,0,0,283.46,2
0,1.965034965,0,5,282.57,5
0,1.395833333,0,1,277.36,3
0,2.083333333,0,1,275.89,3
0,2.137731481,0,3,277.59,3
0,2.137731481,0,3,277.32,3
0,2.048611111,0,6,274.45,8
0,1.69367284,0,1,268.34,8
0,1.675925926,0,1,271.41,2
0,2.083333333,0,1,273.44,3
0,1.69212963,0,1,272.89,5
0,2.00877193,0,6,273.02,5
0,1.69367284,0,1,273.29,6
0,1.665895062,0,1,272.46,2
0,2.128472222,0,3,272.77,2
0,1.633487654,0,1,270.18,6
0,1.750771605,0,1,276.61,2
0,1.734567901,0,3,290.95,7
0,1.684478372,0,1,281.94,9
0,2.00877193,0,5,281.2,2
