congestion,warningcounts,routeoption,datetime,day,directions
Heavy,0,1,10/01/2012 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/02/2012 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/03/2012 0:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/04/2012 0:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/05/2012 0:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/06/2012 0:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/07/2012 0:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/08/2012 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/09/2012 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/10/2012 0:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/11/2012 0:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/12/2012 0:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/13/2012 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/14/2012 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/15/2012 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/16/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/17/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/18/2012 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/19/2012 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/20/2012 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/21/2012 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/22/2012 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/23/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/24/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/25/2012 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/26/2012 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/27/2012 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/28/2012 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/29/2012 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/30/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,10/31/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/01/2012 0:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/02/2012 0:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/03/2012 0:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/04/2012 0:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/05/2012 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/06/2012 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,1,11/07/2012 0:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
