datetime,weather,temperature,windspeed
01/01/2013 00:00,Clouds,272.96,4
01/01/2014 00:00,Rain,261.98,0
01/01/2017 00:00,Clouds,274.06,4
01/01/2018 00:00,Clouds,260.55,4
01/10/2013 00:00,Clouds,276.51,5
01/10/2016 00:00,Rain,273.88,4
01/10/2017 00:00,Snow,270.55,5
01/10/2018 00:00,Mist,272.79,3
01/11/2013 00:00,Clouds,276.91,5
01/11/2017 00:00,Clouds,277.26,14
01/11/2018 00:00,Mist,283.03,6
01/12/2013 00:00,Rain,276.68,5
01/12/2014 00:00,Clouds,285.193,3
01/12/2017 00:00,Thunderstorm,278.67,4
01/12/2018 00:00,Rain,281.46,8
01/13/2013 00:00,Clouds,284.38,7
01/13/2017 00:00,Clear,269.15,3
01/13/2018 00:00,Snow,267.22,10
01/14/2016 00:00,Clouds,267.31,4
01/14/2017 00:00,Clouds,269.06,2
01/14/2018 00:00,Clear,262.42,1
01/15/2013 00:00,Clouds,266.57,5
01/15/2014 00:00,Clouds,270.15,7
01/15/2016 00:00,Clear,278.13,5
01/15/2017 00:00,Haze,272.55,2
01/15/2018 00:00,Snow,266.15,5
01/16/2013 00:00,Clear,267.75,2
01/16/2014 00:00,Clouds,264.32,3
01/16/2016 00:00,Mist,273.63,6
01/16/2017 00:00,Haze,273.49,2
01/16/2018 00:00,Snow,262.85,7
01/17/2013 00:00,Clouds,270.09,1
01/17/2016 00:00,Clouds,269.64,5
01/17/2017 00:00,Rain,275.61,3
01/17/2018 00:00,Snow,266.76,3
01/18/2013 00:00,Clouds,274.68,6
01/18/2016 00:00,Clear,257.16,7
01/18/2017 00:00,Mist,275.37,5
01/18/2018 00:00,Clouds,265.43,6
01/19/2013 00:00,Clear,269.18,3
01/19/2014 00:00,Clouds,285.193,3
01/19/2016 00:00,Clouds,258.65,7
01/19/2017 00:00,Clouds,275.55,2
01/19/2018 00:00,Clear,272.15,7
01/02/2013 00:00,Clouds,270.49,4
01/02/2014 00:00,Rain,267.22,4
01/02/2016 00:00,Clear,271.24,6
01/02/2017 00:00,Clear,273.49,2
01/02/2018 00:00,Clear,253.7,6
01/20/2013 00:00,Clear,277.0,4
01/20/2014 00:00,Clouds,274.26,2
01/20/2016 00:00,Clouds,263.81,4
01/20/2017 00:00,Rain,277.37,3
01/20/2018 00:00,Haze,275.88,7
01/21/2013 00:00,Clouds,280.38,7
01/21/2017 00:00,Mist,278.73,1
01/21/2018 00:00,Clouds,278.35,2
01/22/2016 00:00,Haze,268.7,2
01/22/2017 00:00,Clear,285.06,2
01/22/2018 00:00,Mist,279.65,2
01/23/2016 00:00,Snow,271.49,5
01/23/2017 00:00,Rain,278.59,3
01/23/2018 00:00,Thunderstorm,283.06,5
01/24/2013 00:00,Clear,261.25,0
01/24/2016 00:00,Clouds,271.99,2
01/24/2017 00:00,Clouds,278.04,4
01/24/2018 00:00,Clouds,272.14,4
01/25/2014 00:00,Clouds,267.45,4
01/25/2017 00:00,Clouds,276.283,2
01/25/2018 00:00,Clouds,271.55,4
01/26/2014 00:00,Clouds,261.58,5
01/26/2016 00:00,Rain,275.83,4
01/26/2017 00:00,Rain,276.66,7
01/26/2018 00:00,Mist,277.15,2
01/27/2014 00:00,Rain,271.85,6
01/27/2016 00:00,Snow,270.86,7
01/27/2017 00:00,Snow,274.15,4
01/27/2018 00:00,Clouds,283.41,6
01/28/2014 00:00,Clouds,252.54,6
01/28/2016 00:00,Clear,273.65,7
01/28/2017 00:00,Snow,270.14,6
01/28/2018 00:00,Clouds,279.64,4
01/29/2014 00:00,Clear,256.62,4
01/29/2017 00:00,Haze,271.15,3
01/29/2018 00:00,Snow,274.35,4
01/03/2013 00:00,Clear,264.74,4
01/03/2017 00:00,Rain,276.75,2
01/03/2018 00:00,Clear,256.52,4
01/30/2014 00:00,Clear,266.55,2
01/30/2017 00:00,Snow,269.65,4
01/30/2018 00:00,Snow,268.59,6
01/31/2013 00:00,Rain,285.72,3
01/31/2014 00:00,Rain,272.09,2
01/31/2016 00:00,Clouds,277.34,2
01/31/2017 00:00,Clouds,272.45,5
01/31/2018 00:00,Clear,271.85,3
01/04/2013 00:00,Clear,268.72,6
01/04/2014 00:00,Clouds,264.44,4
01/04/2016 00:00,Snow,271.12,5
01/04/2017 00:00,Mist,275.59,6
01/04/2018 00:00,Clouds,262.51,5
01/05/2013 00:00,Clouds,270.38,6
01/05/2017 00:00,Clear,264.38,8
01/05/2018 00:00,Clouds,259.56,5
01/06/2013 00:00,Clear,273.2,5
01/06/2014 00:00,Clouds,260.0,3
01/06/2016 00:00,Clear,272.15,3
01/06/2017 00:00,Clouds,261.74,3
01/06/2018 00:00,Clouds,259.45,5
01/07/2013 00:00,Snow,274.66,4
01/07/2014 00:00,Clouds,285.193,3
01/07/2017 00:00,Clear,258.94,2
01/07/2018 00:00,Clear,260.71,2
01/08/2013 00:00,Clouds,270.97,4
01/08/2014 00:00,Clouds,257.17,3
01/08/2016 00:00,Rain,277.23,3
01/08/2017 00:00,Clouds,264.04,8
01/08/2018 00:00,Mist,272.15,5
01/09/2013 00:00,Clouds,274.33,6
01/09/2014 00:00,Clouds,261.61,3
01/09/2017 00:00,Clear,264.26,4
01/09/2018 00:00,Mist,273.99,3
10/01/2015 00:00,Clouds,285.94,7
10/01/2016 00:00,Rain,289.87,3
10/01/2017 00:00,Clouds,289.79,6
10/10/2012 00:00,Clouds,285.45,4
10/10/2013 00:00,Clear,289.94,3
10/10/2016 00:00,Clear,287.953,3
10/10/2017 00:00,Clouds,295.97,4
10/11/2012 00:00,Clear,289.4,10
10/11/2013 00:00,Clear,289.685,3
10/11/2015 00:00,Clouds,287.1,3
10/11/2016 00:00,Clouds,291.115,2
10/11/2017 00:00,Rain,287.86,6
10/12/2012 00:00,Clear,280.4,1
10/12/2015 00:00,Clouds,294.48,5
10/12/2016 00:00,Clear,292.29400000000004,4
10/12/2017 00:00,Rain,286.76,6
10/13/2015 00:00,Clouds,291.51,9
10/13/2016 00:00,Rain,285.153,7
10/13/2017 00:00,Mist,288.49,2
10/14/2012 00:00,Clouds,280.62,3
10/14/2015 00:00,Clouds,285.92,6
10/14/2016 00:00,Clear,283.095,0
10/14/2017 00:00,Clouds,294.75,2
10/15/2012 00:00,Mist,290.95,5
10/15/2013 00:00,Clouds,286.22,0
10/15/2015 00:00,Clear,284.81,2
10/15/2016 00:00,Clear,289.664,5
10/15/2017 00:00,Rain,291.55,2
10/16/2012 00:00,Rain,283.46,9
10/16/2015 00:00,Clear,287.84,9
10/16/2016 00:00,Clouds,293.185,6
10/16/2017 00:00,Clouds,285.15,6
10/17/2012 00:00,Clouds,282.39,2
10/17/2016 00:00,Rain,291.871,2
10/17/2017 00:00,Clear,286.73,1
10/18/2012 00:00,Clouds,291.65,6
10/18/2013 00:00,Clouds,281.94,4
10/18/2015 00:00,Haze,280.45,1
10/18/2016 00:00,Clear,295.94,7
10/18/2017 00:00,Clear,291.26,3
10/19/2012 00:00,Rain,288.6,7
10/19/2015 00:00,Clear,282.14,3
10/19/2016 00:00,Clear,290.934,2
10/19/2017 00:00,Clear,292.65,3
10/02/2015 00:00,Clouds,285.69,8
10/02/2016 00:00,Rain,288.64,1
10/02/2017 00:00,Clouds,292.34,2
10/20/2012 00:00,Rain,280.46,4
10/20/2013 00:00,Rain,281.45,0
10/20/2015 00:00,Clouds,293.15,7
10/20/2016 00:00,Clouds,289.82099999999997,3
10/20/2017 00:00,Clear,289.05,1
10/21/2012 00:00,Rain,281.2,2
10/21/2015 00:00,Rain,290.71,2
10/21/2016 00:00,Clouds,285.832,8
10/21/2017 00:00,Clouds,294.62,2
10/22/2013 00:00,Clouds,285.193,3
10/22/2015 00:00,Clouds,294.02,5
10/22/2016 00:00,Clear,283.038,6
10/22/2017 00:00,Clear,296.37,4
10/23/2012 00:00,Clouds,288.76,2
10/23/2016 00:00,Clear,287.119,4
10/23/2017 00:00,Rain,284.45,6
10/24/2012 00:00,Rain,291.24,4
10/24/2016 00:00,Clear,289.56,7
10/24/2017 00:00,Clouds,284.65,2
10/25/2012 00:00,Clouds,291.07,3
10/25/2016 00:00,Clear,283.061,3
10/25/2017 00:00,Rain,280.79,4
10/26/2012 00:00,Clouds,296.23,4
10/26/2016 00:00,Clear,283.551,4
10/26/2017 00:00,Clear,281.62,2
10/27/2012 00:00,Rain,285.95,7
10/27/2016 00:00,Rain,284.328,7
10/27/2017 00:00,Clear,287.15,4
10/28/2012 00:00,Clouds,280.06,2
10/28/2015 00:00,Rain,285.05,6
