TIME,SEGMENTID,SPEED
12/21/2014 11:50:32 PM,1035,-1
12/21/2014 11:50:32 PM,1035,-1
12/06/2014 11:50:32 PM,1035,-1
12/18/2014 11:50:32 PM,1035,-1
01/28/2013 11:50:32 PM,1035,-1
01/15/2013 11:50:32 PM,1035,14
01/17/2013 11:50:32 PM,1035,-1
11/28/2014 11:50:32 PM,1035,-1
01/26/2013 11:50:32 PM,1035,-1
02/17/2013 11:50:32 PM,1035,-1
02/12/2013 11:50:32 PM,1035,-1
11/27/2014 11:50:32 PM,1035,-1
12/01/2014 11:50:32 PM,1035,18
01/19/2013 11:50:32 PM,1035,-1
01/31/2013 11:50:32 PM,1035,-1
12/28/2014 11:50:32 PM,1035,-1
12/19/2014 11:50:32 PM,1035,16
01/22/2013 11:50:32 PM,1035,-1
12/05/2014 11:50:32 PM,1035,-1
12/22/2014 11:50:32 PM,1035,-1
01/31/2013 11:50:32 PM,1035,-1
12/25/2014 11:50:32 PM,1035,-1
02/05/2013 11:50:32 PM,1035,12
02/15/2013 11:50:32 PM,1035,12
12/18/2014 11:50:32 PM,1035,22
11/30/2014 11:50:32 PM,1035,-1
12/15/2014 11:50:32 PM,1035,-1
02/16/2013 11:50:32 PM,1035,-1
12/02/2014 11:50:32 PM,1035,12
02/02/2013 11:50:32 PM,1035,-1
01/21/2013 11:50:32 PM,1035,-1
01/18/2013 11:50:32 PM,1035,22
12/25/2014 11:50:32 PM,1035,-1
02/28/2013 11:50:32 PM,1035,-1
02/19/2013 11:50:32 PM,1035,-1
02/24/2013 11:50:32 PM,1035,-1
12/22/2014 11:50:32 PM,1035,12
12/07/2014 11:50:32 PM,1035,-1
01/17/2013 11:50:32 PM,1035,-1
12/15/2014 11:50:32 PM,1035,-1
02/04/2013 11:50:32 PM,1035,-1
01/19/2013 11:50:32 PM,1035,-1
11/30/2014 11:50:32 PM,1035,-1
12/16/2014 11:50:32 PM,1035,-1
12/28/2014 11:50:32 PM,1035,-1
02/22/2013 11:50:32 PM,1035,-1
11/26/2014 11:50:32 PM,1035,-1
12/11/2014 11:50:32 PM,1035,-1
12/29/2014 11:50:32 PM,1035,-1
01/28/2013 11:50:32 PM,1035,17
12/26/2014 11:50:32 PM,1035,-1
01/16/2013 11:50:32 PM,1035,-1
02/26/2013 11:50:32 PM,1035,-1
01/17/2013 11:50:32 PM,1035,-1
01/31/2013 11:50:32 PM,1035,-1
02/26/2013 11:50:32 PM,1035,-1
02/20/2013 11:50:32 PM,1035,-1
01/21/2013 11:50:32 PM,1035,-1
02/28/2013 11:50:32 PM,1035,-1
01/23/2013 11:50:32 PM,1035,-1
02/14/2013 11:50:32 PM,1035,-1
02/04/2013 11:50:32 PM,1035,-1
